mean_review_score_parameters,ratio,days_since_host,cooking basics,dishes and silverware,essentials,hair dryer,hangers,hot water,kitchen,refrigerator,smoke alarm,wifi,host_response_time,room_type,host_has_profile_pic,host_is_superhost,host_identity_verified,has_availability,instant_bookable,price,neighbourhood_cleansed,host_response_rate,host_acceptance_rate,host_total_listings_count,latitude,longitude,accommodates,beds,minimum_nights,maximum_nights,availability_30,availability_365,number_of_reviews,reviews_per_month,bathrooms
4.744999999999999,0.0,4980.0,1,1,1,1,1,1,1,0,1,0,within an hour,Entire home/apt,True,False,True,True,False,173.0,Ville-Marie,1.0,0.98,2.0,45.51939,-73.56482,4.0,2.0,2.0,60.0,27.0,316.0,436.0,2.67,1.0
4.796666666666667,18.0,4980.0,1,1,1,1,1,1,1,1,1,0,within an hour,Entire home/apt,True,False,True,True,False,320.0,Ville-Marie,1.0,0.98,2.0,45.51929,-73.56493,4.0,2.0,3.0,21.0,0.0,0.0,127.0,0.89,1.0
4.916666666666667,2.0,4941.0,0,1,1,1,1,1,1,1,1,1,within a few hours,Entire home/apt,True,False,True,True,False,160.0,Rosemont-La Petite-Patrie,1.0,1.0,1.0,45.53818,-73.6036,4.0,3.0,31.0,31.0,24.0,121.0,11.0,0.07,1.0
4.876666666666667,0.0,4711.0,1,1,1,1,1,1,1,1,1,1,within a few hours,Entire home/apt,True,True,True,True,False,175.0,Le Plateau-Mont-Royal,1.0,0.86,11.0,45.53026,-73.58413,2.0,2.0,32.0,730.0,1.0,53.0,49.0,0.47,1.0
4.573333333333332,0.0,4922.0,1,1,1,1,0,1,1,1,1,1,a few days or more,Private room,True,False,True,True,False,50.0,Ville-Marie,0.43,0.0,3.0,45.52699,-73.5584,1.0,4.0,31.0,60.0,30.0,362.0,16.0,0.11,0.5
4.613333333333333,17.0,4881.0,1,1,0,1,1,1,1,1,1,1,within an hour,Private room,True,False,True,True,True,75.0,Côte-des-Neiges-Notre-Dame-de-Grâce,1.0,1.0,2.0,45.4702282493343,-73.60712289553328,5.0,4.0,3.0,365.0,30.0,361.0,59.0,0.39,0.5
4.9366666666666665,16.333333333333332,4860.0,1,1,1,1,1,1,1,1,1,0,within an hour,Entire home/apt,True,True,True,True,True,91.0,Rosemont-La Petite-Patrie,1.0,1.0,3.0,45.54157,-73.60737,3.0,2.0,3.0,28.0,7.0,23.0,247.0,1.54,1.0
4.763333333333333,11.428571428571429,4767.0,1,1,1,1,1,1,1,1,1,0,within an hour,Entire home/apt,True,True,True,True,False,136.0,Ville-Marie,1.0,1.0,126.0,45.50584,-73.55602,4.0,1.0,3.0,90.0,0.0,0.0,438.0,2.79,1.0
4.808333333333333,0.0,4759.0,1,1,1,1,1,1,1,0,1,1,within an hour,Entire home/apt,True,True,True,True,False,55.0,Côte-des-Neiges-Notre-Dame-de-Grâce,1.0,1.0,4.0,45.46133041381836,-73.62896728515625,2.0,1.0,32.0,180.0,0.0,300.0,39.0,0.25,1.0
3.8333333333333335,0.0,4947.0,1,1,1,1,1,1,1,1,1,1,,Entire home/apt,True,False,False,True,False,90.0,Ville-Marie,1.0,0.0,7.0,45.5019,-73.56354,4.0,2.0,31.0,365.0,2.0,336.0,1.0,0.01,1.0
4.755,0.0,4789.0,1,1,1,1,1,1,1,1,1,1,within an hour,Entire home/apt,True,False,True,True,False,499.0,Le Sud-Ouest,1.0,0.83,1.0,45.47812,-73.55698,6.0,3.0,3.0,32.0,0.0,172.0,35.0,0.23,2.0
4.835,0.0,4711.0,1,1,1,1,1,1,1,1,1,1,within a few hours,Entire home/apt,True,True,True,True,False,170.0,Le Plateau-Mont-Royal,1.0,0.86,11.0,45.52946,-73.58206,3.0,2.0,90.0,730.0,0.0,58.0,38.0,0.25,1.0
4.778333333333332,0.0,4638.0,0,1,1,1,1,0,1,1,1,1,,Entire home/apt,True,False,True,True,False,232.0,Le Plateau-Mont-Royal,1.0,0.8,5.0,45.51856,-73.57756,4.0,2.0,31.0,364.0,30.0,365.0,44.0,0.29,1.0
4.611666666666666,0.0,4637.0,1,1,1,1,0,1,1,1,1,1,,Private room,True,True,True,True,False,20.0,Le Plateau-Mont-Royal,1.0,0.38,6.0,45.52508,-73.58719,1.0,4.0,300.0,730.0,30.0,269.0,144.0,0.95,0.5
4.906666666666666,2.0,4640.0,1,1,1,1,1,1,1,1,1,1,within a few hours,Entire home/apt,True,False,True,True,False,181.0,Villeray-Saint-Michel-Parc-Extension,1.0,0.33,4.0,45.53971,-73.61943,2.0,1.0,31.0,730.0,14.0,180.0,74.0,0.49,2.0
4.826666666666666,0.0,4596.0,1,1,1,0,1,1,1,1,1,1,within an hour,Entire home/apt,True,True,True,True,False,250.0,Le Plateau-Mont-Royal,1.0,0.91,3.0,45.52663,-73.60145,5.0,2.0,2.0,67.0,0.0,0.0,66.0,0.46,1.0
4.915,0.0,4711.0,1,1,1,1,1,1,1,1,1,1,within a few hours,Entire home/apt,True,True,True,True,False,140.0,Le Plateau-Mont-Royal,1.0,0.86,11.0,45.52851,-73.58224,1.0,1.0,32.0,730.0,3.0,103.0,125.0,0.83,1.0
4.8516666666666675,0.0,4759.0,1,1,1,1,1,1,1,1,1,1,within an hour,Entire home/apt,True,True,True,True,False,90.0,Côte-des-Neiges-Notre-Dame-de-Grâce,1.0,1.0,4.0,45.461334228515625,-73.62901306152344,4.0,3.0,32.0,180.0,0.0,167.0,26.0,0.17,1.0
4.635000000000001,0.0,5222.0,1,1,1,1,1,1,1,1,1,0,,Entire home/apt,True,False,True,True,False,90.0,Rosemont-La Petite-Patrie,1.0,0.99,1.0,45.54512,-73.59808,2.0,1.0,186.0,365.0,24.0,358.0,15.0,0.1,1.0
4.876666666666667,64.0,4610.0,1,1,1,1,1,1,1,1,1,1,within an hour,Entire home/apt,True,True,True,True,False,126.0,Le Plateau-Mont-Royal,1.0,1.0,23.0,45.528545,-73.579308,2.0,1.0,2.0,1125.0,19.0,111.0,704.0,4.71,1.0
4.765,0.0,4562.0,1,1,1,1,1,1,1,1,1,1,within an hour,Entire home/apt,True,True,True,True,True,95.0,Rosemont-La Petite-Patrie,1.0,1.0,3.0,45.54673,-73.57181,3.0,2.0,31.0,1125.0,1.0,2.0,32.0,0.22,1.0
4.908333333333334,16.0,4610.0,1,1,1,1,1,1,1,1,1,1,within an hour,Entire home/apt,True,True,True,True,False,194.0,Le Plateau-Mont-Royal,1.0,1.0,23.0,45.528431,-73.578979,4.0,2.0,2.0,35.0,5.0,66.0,615.0,4.15,1.0
5.0,0.0,4554.0,1,1,1,1,1,1,1,1,1,0,within a few hours,Entire home/apt,True,False,True,True,False,92.0,Côte-des-Neiges-Notre-Dame-de-Grâce,1.0,0.25,5.0,45.49406,-73.62555,2.0,1.0,31.0,730.0,0.0,144.0,2.0,0.01,1.0
4.666666666666667,0.0,4707.0,1,1,1,1,1,1,1,1,1,1,within an hour,Entire home/apt,True,False,True,True,False,115.0,Ville-Marie,1.0,0.71,67.0,45.50312,-73.56346,2.0,1.0,31.0,1125.0,5.0,303.0,5.0,0.04,1.0
4.778333333333333,0.0,4554.0,1,1,1,1,1,1,1,1,1,0,within a few hours,Entire home/apt,True,False,True,True,False,299.0,Côte-des-Neiges-Notre-Dame-de-Grâce,1.0,0.25,5.0,45.49172,-73.6247,5.0,6.0,31.0,4000.0,28.0,347.0,3.0,0.16,2.0
4.4816666666666665,0.0,4513.0,1,0,1,1,1,1,1,1,1,1,within an hour,Entire home/apt,True,True,True,False,True,83.0,Le Sud-Ouest,1.0,0.98,38.0,45.47944,-73.5582,4.0,1.0,90.0,1125.0,0.0,0.0,19.0,0.14,1.0
4.784999999999999,0.0,4511.0,1,1,1,1,1,1,1,1,1,1,within an hour,Entire home/apt,True,False,True,True,False,180.0,Le Plateau-Mont-Royal,1.0,0.97,6.0,45.53217,-73.58388,6.0,4.0,20.0,365.0,0.0,48.0,22.0,0.15,2.0
4.87,21.0,4695.0,1,1,1,1,1,1,1,1,1,0,within an hour,Entire home/apt,True,True,True,True,False,146.0,Baie-d'Urfé,1.0,0.93,2.0,45.41282,-73.90712,2.0,1.0,2.0,90.0,0.0,0.0,218.0,1.78,1.0
4.216666666666666,0.0,4512.0,0,1,0,0,0,0,1,1,0,1,within an hour,Private room,True,False,True,True,False,40.0,Ville-Marie,1.0,0.36,16.0,45.4901,-73.56718,2.0,1.0,31.0,365.0,0.0,335.0,20.0,0.14,1.0
4.8566666666666665,0.0,4640.0,0,0,1,1,1,1,1,1,1,1,within a few hours,Entire home/apt,True,False,True,True,False,125.0,Villeray-Saint-Michel-Parc-Extension,1.0,0.33,4.0,45.53839,-73.61759,3.0,2.0,31.0,365.0,0.0,65.0,21.0,0.15,1.0
4.791666666666667,0.0,4512.0,1,1,1,1,1,0,1,0,1,1,within an hour,Private room,True,False,True,True,False,30.0,Le Sud-Ouest,1.0,0.36,16.0,45.49031,-73.56686,5.0,1.0,32.0,760.0,0.0,334.0,4.0,0.03,1.5
4.878333333333334,0.0,4711.0,0,1,0,0,0,0,1,0,0,1,within a few hours,Entire home/apt,True,True,True,True,False,140.0,Le Plateau-Mont-Royal,1.0,0.86,11.0,45.52991,-73.58205,1.0,1.0,32.0,365.0,0.0,0.0,52.0,0.36,0.0
4.6866666666666665,0.0,4472.0,1,1,1,1,1,1,1,0,1,1,within an hour,Entire home/apt,True,False,True,True,False,90.0,Villeray-Saint-Michel-Parc-Extension,1.0,1.0,1.0,45.55275,-73.60055,2.0,1.0,32.0,1125.0,0.0,30.0,44.0,0.3,1.0
4.908333333333334,0.0,4471.0,1,1,1,1,1,1,1,1,1,1,within a day,Entire home/apt,True,False,True,True,False,375.0,Le Plateau-Mont-Royal,1.0,0.99,1.0,45.5211,-73.59219,6.0,5.0,31.0,365.0,0.0,326.0,10.0,0.08,2.0
4.888333333333334,0.0,4562.0,1,1,1,1,1,1,1,1,1,1,within an hour,Entire home/apt,True,True,True,True,True,180.0,Rosemont-La Petite-Patrie,1.0,1.0,3.0,45.5467,-73.57182,5.0,3.0,31.0,352.0,0.0,0.0,15.0,0.11,1.0
4.909999999999999,0.0,4448.0,1,1,1,1,1,1,1,1,1,1,,Entire home/apt,True,False,True,True,False,100.0,Le Plateau-Mont-Royal,1.0,0.0,3.0,45.52912,-73.57694,3.0,2.0,90.0,450.0,0.0,126.0,34.0,0.33,1.0
